company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
ForeScout,Principal Security Engineer,SSPM,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,2025-11-30,"saas compliance, saas posture management, sanctioned it, ai governance, ai agent security"
Abnormal Security,AppSec Engineer,SSPM,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,2025-12-02,"genai security, cloud governance, saas posture management"
CrowdStrike,SaaS Security Engineer,SaaS Compliance,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-engineer,2025-11-26,"autonomous agent security, saas compliance"
Bitdefender,AppSec Engineer,AI Compliance,"San Francisco, CA",0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,2025-12-01,"generative ai compliance, ai governance"
Elastic,Security Software Engineer,SSPM,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-software-engineer,2025-11-28,"cloud governance, cloud compliance, sanctioned it, saas posture management, llm compliance"
Centrify,Cloud Posture Engineer,SSPM,"Boston, MA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-posture-engineer,2025-11-29,"security posture management, llm security, ai security"
SentinelOne,Security Software Engineer,AI Compliance,"London, UK",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-software-engineer,2025-11-28,"ai compliance, sspm, generative ai compliance, ai security"
Box,Machine Learning Security Engineer,SSPM,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=machine-learning-security-engineer,2025-11-29,"cloud governance, saas security posture, llm security, ai policy"
8x8,AppSec Engineer,SSPM,"Seattle, WA",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,2025-12-02,"cloud application security, ai agent risk, saas posture management, cloud app security"
Tanium,AI Security Engineer,SSPM,"London, UK",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-security-engineer,2025-11-27,"ai policy, cloud application security, saas posture management, ai compliance"
Slack,Risk Manager,SaaS Compliance,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=risk-manager,2025-11-30,"saas compliance, cloud application security"
Stripe,Security Auditor,SaaS Security,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-auditor,2025-11-27,"ai security, saas security, ai governance"
SentinelOne,Lead Security Engineer,SSPM,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,2025-11-30,"saas compliance, sanctioned it, saas governance, sspm, saas audit"
F5 Networks,SSPM Engineer,SaaS Compliance,"San Francisco, CA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-engineer,2025-11-28,"shadow it, saas compliance, saas governance, saas audit, saas security"
HubSpot,Senior Security Engineer,SaaS Security,"Seattle, WA",0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=senior-security-engineer,2025-11-27,"sanctioned it, llm security"
Cloudinary,Security Engineer,SaaS Compliance,"San Francisco, CA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,2025-11-27,"cloud application security, saas compliance"
Cloudinary,Cloud Posture Engineer,SaaS Security,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-posture-engineer,2025-12-02,"ai governance, autonomous agent security, cloud application security"
Shell,SSPM Engineer,SaaS Compliance,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-engineer,2025-11-30,"ai agent security, saas compliance, ai governance"
ServiceNow,Security Engineer,SSPM,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,2025-12-02,"saas audit, sanctioned it, saas posture management"
Blue Prism,SaaS Security Posture Manager,AI Agent Security,Remote,0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-posture-manager,2025-11-29,"ai agent security, ai compliance"
Verizon,Application Security Engineer,SaaS Security,"San Francisco, CA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=application-security-engineer,2025-11-30,"llm compliance, cloud application security, ai agent security"
Veza,Director of Security,SaaS Compliance,"Boston, MA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=director-of-security,2025-11-29,"saas compliance, generative ai compliance"
Databricks,Director of Security,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=director-of-security,2025-12-03,"genai security, saas risk, ai policy"
Aqua Security,SaaS Security Engineer,SSPM,"Boston, MA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-engineer,2025-12-03,"saas governance, ai agent risk, saas posture management, ai agent security, ai policy"
Zendesk,Cloud Security Engineer,SSPM,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-engineer,2025-12-01,"saas audit, genai security, cloud app security"
Commvault,AppSec Engineer,SaaS Security,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,2025-12-01,"saas security, llm compliance"
RingCentral,SOC Analyst,SSPM,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,2025-11-27,"saas security, security posture management, cloud compliance"
Proofpoint,Incident Response Engineer,SaaS Security,Remote (US),0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=incident-response-engineer,2025-12-01,"sanctioned it, ai security"
CrowdStrike,Security Manager,SSPM,"San Francisco, CA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-manager,2025-12-02,"cloud application security, saas posture management"
Wiz,Cloud Security Architect,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-architect,2025-11-27,"shadow it, cloud compliance, saas security, cloud governance"
Imperva,Security Operations Engineer,SaaS Compliance,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-operations-engineer,2025-11-27,"saas compliance, cloud app security, saas audit"
Imperva,AppSec Engineer,SaaS Security,"Boston, MA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,2025-11-29,"saas risk, ai compliance, saas security"
BeyondTrust,SaaS Security Posture Manager,SSPM,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-posture-manager,2025-12-01,"autonomous agent security, saas posture management, saas risk"
Radware,Security Operations Engineer,SaaS Security,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-operations-engineer,2025-12-02,"saas compliance, shadow it, llm security, ai agent security, cloud application security"
Dropbox,Security Software Engineer,SSPM,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-software-engineer,2025-11-26,"saas compliance, shadow it, saas security posture"
CloudKnox,Security Manager,SaaS Security,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-manager,2025-12-01,"ai agent security, saas compliance, ai security"
BeyondTrust,Senior Security Engineer,SSPM,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=senior-security-engineer,2025-12-02,"saas security posture, cloud governance, ai policy"
Canonical,Threat Detection Engineer,SaaS Compliance,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=threat-detection-engineer,2025-12-03,"ai agent security, sanctioned it, saas compliance"
Automation Anywhere,Senior Security Engineer,SSPM,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=senior-security-engineer,2025-11-27,"ai policy, cloud app security, saas security posture, cloud application security"
PagerDuty,Incident Response Engineer,SSPM,"Boston, MA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=incident-response-engineer,2025-11-26,"cloud governance, cloud application security"
Box,SSPM Engineer,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-engineer,2025-12-02,"sspm, llm compliance, saas compliance"
SendGrid,Director of Security,SSPM,"San Francisco, CA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=director-of-security,2025-12-01,"llm compliance, ai compliance, autonomous agent security, sspm, ai agent risk"
MongoDB,Cloud Security Engineer,SSPM,"London, UK",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-engineer,2025-11-30,"security posture management, ai agent risk, saas audit"
BP,AI Security Engineer,SSPM,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-security-engineer,2025-11-26,"saas audit, llm security"
Netskope,Security Compliance Manager,SSPM,"San Francisco, CA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,2025-11-26,"cloud compliance, saas risk"
Zoom Video,Security Auditor,SaaS Security,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-auditor,2025-11-27,"ai policy, autonomous agent security, saas risk"
Veeam,Machine Learning Security Engineer,SaaS Compliance,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=machine-learning-security-engineer,2025-12-02,"saas compliance, ai governance, cloud app security, sanctioned it"
Sophos,Principal Security Engineer,SSPM,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,2025-11-29,"saas governance, sspm, cloud app security, saas risk"
Ermetic,LLM Security Specialist,SSPM,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=llm-security-specialist,2025-12-01,"saas posture management, ai agent security, cloud compliance, sanctioned it"
Cohesity,Security Auditor,SaaS Security,"Denver, CO",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-auditor,2025-11-30,"genai security, saas compliance, cloud app security, security posture management"
Barracuda,GRC Analyst,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,2025-12-02,"security posture management, llm security"
MongoDB,Cloud Security Architect,AI Compliance,"Boston, MA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-architect,2025-11-27,"ai compliance, llm compliance"
Snowflake,Risk Manager,SSPM,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=risk-manager,2025-11-29,"ai policy, sspm"
Orca Security,Threat Detection Engineer,SaaS Security,"Austin, TX",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=threat-detection-engineer,2025-11-30,"llm compliance, sanctioned it, generative ai compliance, shadow it, saas security"
Oracle,Incident Response Engineer,SaaS Compliance,"Toronto, Canada",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=incident-response-engineer,2025-11-29,"ai compliance, autonomous agent security, saas compliance, llm compliance, saas audit"
Verizon,Application Security Engineer,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=application-security-engineer,2025-11-30,"saas posture management, ai compliance, ai agent security"
CloudKnox,Principal Security Engineer,SaaS Security,"Toronto, Canada",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,2025-12-01,"autonomous agent security, cloud app security"
Segment,Security Software Engineer,SaaS Security,Hybrid - Bay Area,0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-software-engineer,2025-11-30,"shadow it, cloud governance, llm security, llm compliance"
Tenable,AppSec Engineer,SSPM,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,2025-12-02,"llm security, security posture management"
Barracuda,SOC Analyst,AI Agent Security,"Denver, CO",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,2025-11-27,"ai agent security, llm security"
Druva,Lead Security Engineer,AI Compliance,"New York, NY",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,2025-11-27,"cloud compliance, llm compliance, genai security, ai agent security, autonomous agent security"
ConocoPhillips,LLM Security Specialist,SSPM,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=llm-security-specialist,2025-11-29,"saas governance, sspm, llm security, sanctioned it"
ForeScout,SSPM Product Manager,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-product-manager,2025-11-30,"ai compliance, genai security, cloud governance, security posture management, ai security"
RingCentral,SSPM Product Manager,SSPM,"Toronto, Canada",0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-product-manager,2025-11-30,"shadow it, ai security"
Walmart,CISO,AI Compliance,"New York, NY",0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,2025-11-27,"autonomous agent security, ai compliance"
Docker,Application Security Engineer,SaaS Compliance,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=application-security-engineer,2025-11-27,"saas compliance, ai agent security"
Slack,Cloud Security Analyst,SSPM,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-analyst,2025-12-01,"security posture management, autonomous agent security, cloud governance, genai security, cloud app security"
Twilio,Security Manager,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-manager,2025-11-30,"saas audit, autonomous agent security"
T-Mobile,AI Agent Security Engineer,SaaS Security,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-agent-security-engineer,2025-12-03,"llm security, cloud app security, ai policy, saas security posture"
BCG,Staff Security Engineer,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=staff-security-engineer,2025-12-02,"shadow it, sanctioned it, saas risk, autonomous agent security, cloud governance"
DocuSign,Security Manager,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-manager,2025-11-26,"shadow it, saas risk"
UiPath,SaaS Security Posture Manager,SSPM,"Boston, MA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-posture-manager,2025-12-02,"sspm, cloud app security, ai compliance"
Cisco,Principal Security Engineer,SaaS Security,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,2025-12-01,"autonomous agent security, genai security, saas compliance, cloud app security, saas audit"
Tanium,Director of Security,SSPM,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=director-of-security,2025-12-01,"ai agent risk, shadow it, llm compliance, saas posture management"
Chorus.ai,CISO,SaaS Compliance,"London, UK",0.85,Lever,https://jobs.lever.co/chorusai,2025-12-01,"ai agent risk, ai compliance, saas governance"
Dropbox,SSPM Engineer,SSPM,Hybrid - Bay Area,0.9,Lever,https://jobs.lever.co/dropbox,2025-11-30,"sspm, ai governance, saas security posture, ai security, llm compliance"
Kubernetes,SaaS Security Architect,SaaS Security,"Denver, CO",0.8,Lever,https://jobs.lever.co/kubernetes,2025-11-30,"saas audit, ai agent security, cloud governance"
CyberArk,Machine Learning Security Engineer,SSPM,"Boston, MA",0.85,Lever,https://jobs.lever.co/cyberark,2025-11-26,"shadow it, cloud governance, cloud application security"
Barracuda,Cloud Security Engineer,AI Compliance,"Toronto, Canada",0.9,Lever,https://jobs.lever.co/barracuda,2025-11-26,"ai policy, generative ai compliance"
SUSE,SaaS Security Architect,SaaS Compliance,"Toronto, Canada",0.7,Lever,https://jobs.lever.co/suse,2025-11-27,"sanctioned it, cloud compliance"
Northrop Grumman,GRC Analyst,SaaS Security,"Toronto, Canada",0.85,Lever,https://jobs.lever.co/northrop-grumman,2025-12-03,"saas security, llm security, saas audit, cloud application security"
Asana,Cloud Security Engineer,SaaS Compliance,Hybrid - Bay Area,0.85,Lever,https://jobs.lever.co/asana,2025-11-28,"saas security, saas audit, cloud compliance"
Gong,Threat Detection Engineer,SSPM,Remote (US),0.85,Lever,https://jobs.lever.co/gong,2025-12-03,"saas posture management, saas audit, sspm, saas security"
Redis,Security Team Lead,SaaS Security,"Boston, MA",0.7,Lever,https://jobs.lever.co/redis,2025-11-27,"ai security, cloud app security, ai policy"
Confluent,SSPM Product Manager,SSPM,"New York, NY",0.85,Lever,https://jobs.lever.co/confluent,2025-11-26,"saas security posture, saas compliance"
Mimecast,Machine Learning Security Engineer,SaaS Security,"Boston, MA",0.9,Lever,https://jobs.lever.co/mimecast,2025-11-28,"ai compliance, saas security, ai agent security, llm compliance, ai policy"
Citi,Security Team Lead,SaaS Compliance,"Denver, CO",0.85,Lever,https://jobs.lever.co/citi,2025-12-01,"saas compliance, llm compliance, ai agent security, cloud compliance"
Druva,Security Engineer,SaaS Compliance,"Austin, TX",0.85,Lever,https://jobs.lever.co/druva,2025-11-27,"saas compliance, saas security, shadow it"
CyberArk,Staff Security Engineer,SSPM,"Boston, MA",0.85,Lever,https://jobs.lever.co/cyberark,2025-11-30,"ai agent risk, saas posture management, shadow it"
Dropbox,AI Security Engineer,SSPM,Remote (US),0.85,Lever,https://jobs.lever.co/dropbox,2025-12-01,"security posture management, ai agent risk, sspm, ai security"
Check Point,Security Auditor,SaaS Security,"London, UK",0.9,Lever,https://jobs.lever.co/check-point,2025-11-27,"ai policy, genai security, autonomous agent security, saas security posture"
Netskope,Lead Security Engineer,SSPM,Hybrid - Bay Area,0.85,Lever,https://jobs.lever.co/netskope,2025-11-30,"cloud application security, saas risk, saas compliance, ai agent security, saas posture management"
GitLab,Security Compliance Manager,SaaS Compliance,Remote,0.8,Lever,https://jobs.lever.co/gitlab,2025-12-03,"ai policy, ai compliance, cloud compliance, shadow it"
ForeScout,SaaS Security Posture Manager,SSPM,"New York, NY",0.85,Lever,https://jobs.lever.co/forescout,2025-11-27,"ai agent security, saas audit, llm compliance, shadow it, saas governance"
CyberArk,SSPM Engineer,SSPM,"Toronto, Canada",0.85,Lever,https://jobs.lever.co/cyberark,2025-12-03,"security posture management, ai agent risk, shadow it"
ServiceNow,SSPM Product Manager,SSPM,"New York, NY",0.9,Lever,https://jobs.lever.co/servicenow,2025-11-28,"security posture management, saas posture management, generative ai compliance, cloud app security, ai agent risk"
CVS Health,CISO,SaaS Compliance,Remote,0.85,Lever,https://jobs.lever.co/cvs-health,2025-12-02,"saas compliance, cloud compliance"
SendGrid,Cloud Security Analyst,SSPM,"Denver, CO",0.85,Lever,https://jobs.lever.co/sendgrid,2025-12-02,"shadow it, ai compliance, autonomous agent security, cloud governance, cloud app security"
Asana,AI Agent Security Engineer,SSPM,Remote (US),0.85,Lever,https://jobs.lever.co/asana,2025-11-30,"cloud governance, genai security, shadow it, ai security, cloud compliance"
CircleCI,VP of Security,SaaS Compliance,Remote,0.85,Lever,https://jobs.lever.co/circleci,2025-11-26,"ai policy, saas compliance, cloud governance, ai compliance"
Dropbox,Risk Manager,SSPM,"Austin, TX",0.85,Lever,https://jobs.lever.co/dropbox,2025-12-02,"saas audit, cloud app security"
McKinsey,Cloud Posture Engineer,AI Compliance,Remote,0.85,Lever,https://jobs.lever.co/mckinsey,2025-11-29,"saas audit, llm compliance, ai policy, ai governance"
Darktrace,Application Security Engineer,AI Agent Security,"Austin, TX",0.7,Lever,https://jobs.lever.co/darktrace,2025-11-29,"autonomous agent security, ai agent risk"
Mixpanel,Cloud Security Analyst,SSPM,"London, UK",0.9,Lever,https://jobs.lever.co/mixpanel,2025-11-29,"saas audit, autonomous agent security, saas compliance, sspm"
Rubrik,Cloud Security Analyst,SSPM,"Austin, TX",0.85,Lever,https://jobs.lever.co/rubrik,2025-12-03,"ai governance, saas security posture, saas governance, generative ai compliance"
CircleCI,Incident Response Engineer,SaaS Security,"Toronto, Canada",0.8,Lever,https://jobs.lever.co/circleci,2025-11-27,"autonomous agent security, cloud governance, shadow it"
T-Mobile,Security Operations Engineer,SSPM,"Seattle, WA",0.85,Lever,https://jobs.lever.co/t-mobile,2025-12-01,"ai compliance, saas security posture, cloud governance, ai security, sspm"
Imperva,Incident Response Engineer,SaaS Security,"San Francisco, CA",0.85,Lever,https://jobs.lever.co/imperva,2025-12-01,"saas governance, llm security, autonomous agent security, llm compliance"
Shell,Cloud Security Engineer,SSPM,Remote,0.85,Lever,https://jobs.lever.co/shell,2025-11-26,"ai agent risk, ai agent security, ai governance, sspm"
MongoDB,Threat Detection Engineer,AI Compliance,"New York, NY",0.9,Lever,https://jobs.lever.co/mongodb,2025-12-01,"genai security, sanctioned it, llm compliance, ai compliance"
Docker,Compliance Engineer,AI Agent Security,Remote (US),0.8,Lever,https://jobs.lever.co/docker,2025-12-03,"ai agent security, ai policy, ai security"
Fastly,Staff Security Engineer,AI Compliance,"San Francisco, CA",0.9,Lever,https://jobs.lever.co/fastly,2025-11-28,"ai governance, generative ai compliance, ai agent security, saas compliance"
Snyk,Compliance Engineer,SaaS Compliance,"Seattle, WA",0.85,Lever,https://jobs.lever.co/snyk,2025-11-27,"saas compliance, llm compliance, shadow it"
Anthem,Threat Detection Engineer,SSPM,"Denver, CO",0.85,Lever,https://jobs.lever.co/anthem,2025-12-01,"cloud application security, shadow it"
Netflix,Lead Security Engineer,SSPM,Remote,0.85,Lever,https://jobs.lever.co/netflix,2025-12-02,"shadow it, sanctioned it, saas governance, saas audit, genai security"
SAP,Application Security Engineer,SaaS Compliance,"New York, NY",0.9,Lever,https://jobs.lever.co/sap,2025-12-01,"ai agent security, saas compliance, generative ai compliance, cloud app security, ai governance"
Workday,Cloud Security Architect,SSPM,Remote,0.85,Lever,https://jobs.lever.co/workday,2025-11-26,"cloud compliance, cloud governance, sspm, saas audit"
