company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
Freshworks,Cloud Security Engineer,SSPM,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-engineer,2025-12-01,"ai compliance, cloud application security, security posture management, cloud compliance"
Mixpanel,GRC Analyst,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,2025-12-01,"ai agent risk, security posture management, ai policy, saas security"
Citi,VP of Security,SaaS Compliance,"London, UK",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=vp-of-security,2025-12-01,"saas governance, llm compliance, sspm, generative ai compliance"
Deloitte,LLM Security Specialist,SaaS Security,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=llm-security-specialist,2025-11-27,"cloud governance, cloud app security, genai security, ai agent risk, llm security"
Box,Cloud Security Architect,SSPM,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-architect,2025-11-30,"saas posture management, ai agent risk"
Red Hat,GRC Analyst,SSPM,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,2025-11-27,"ai compliance, saas risk, security posture management, ai policy"
Netskope,GRC Analyst,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,2025-12-01,"saas compliance, sanctioned it, saas security posture, llm compliance"
EY,Security Operations Engineer,SaaS Security,Hybrid - Bay Area,0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-operations-engineer,2025-11-28,"sanctioned it, cloud app security, cloud compliance"
CVS Health,Staff Security Engineer,SSPM,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=staff-security-engineer,2025-11-27,"security posture management, cloud governance, llm compliance"
Cloudinary,Cloud Posture Engineer,SaaS Security,"Boston, MA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-posture-engineer,2025-11-26,"cloud application security, saas security, saas governance"
Vonage,Security Analyst,AI Agent Security,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-analyst,2025-11-26,"ai compliance, ai agent risk, llm security, cloud app security"
Databricks,Senior Security Engineer,SaaS Security,"London, UK",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=senior-security-engineer,2025-11-27,"autonomous agent security, cloud compliance"
Box,CISO,SSPM,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,2025-12-02,"cloud governance, security posture management, autonomous agent security"
Wiz,Cloud Security Analyst,SaaS Security,"Denver, CO",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-analyst,2025-11-29,"cloud app security, ai agent security"
WorkFusion,SSPM Engineer,AI Agent Security,"Boston, MA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-engineer,2025-11-26,"ai governance, genai security"
Datadog,Senior Security Engineer,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=senior-security-engineer,2025-11-27,"ai policy, saas risk"
Auth0,SaaS Security Engineer,SaaS Security,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-engineer,2025-12-02,"genai security, saas compliance, saas governance, cloud application security"
New Relic,Security Analyst,SSPM,"San Francisco, CA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-analyst,2025-11-27,"ai agent risk, cloud governance, saas posture management, ai agent security"
Apple,Security Engineer,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,2025-11-28,"saas posture management, autonomous agent security, cloud governance"
GitHub,Security Posture Analyst,SaaS Compliance,"London, UK",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-posture-analyst,2025-11-26,"llm compliance, cloud governance"
EY,SaaS Security Engineer,SaaS Security,"Seattle, WA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-engineer,2025-11-29,"llm compliance, ai policy, sanctioned it, cloud application security"
Palo Alto Networks,SSPM Product Manager,SSPM,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-product-manager,2025-11-25,"ai governance, llm compliance, sspm"
Zendesk,Security Team Lead,SaaS Compliance,"San Francisco, CA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-team-lead,2025-11-29,"cloud governance, ai agent security, ai compliance, ai policy, saas compliance"
Nozomi Networks,Security Compliance Manager,SaaS Security,"Austin, TX",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,2025-11-25,"shadow it, cloud app security, genai security"
Commvault,Application Security Engineer,SSPM,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=application-security-engineer,2025-11-25,"ai compliance, cloud application security, saas security posture, sanctioned it"
Radware,SOC Analyst,SaaS Compliance,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,2025-11-26,"ai compliance, saas governance, ai agent risk, ai policy, saas audit"
Elastic,GRC Analyst,SSPM,"Boston, MA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,2025-12-02,"security posture management, saas risk, saas posture management"
Five9,Principal Security Engineer,SaaS Compliance,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,2025-11-30,"ai security, saas compliance, saas risk, saas audit"
Atlassian,Application Security Engineer,SaaS Security,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=application-security-engineer,2025-12-02,"cloud application security, ai agent risk"
Chorus.ai,SaaS Security Architect,AI Agent Security,"San Francisco, CA",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-architect,2025-11-25,"generative ai compliance, saas security, ai agent security, genai security, ai agent risk"
BAE Systems,Security Compliance Manager,SSPM,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,2025-11-26,"saas posture management, ai security, ai governance, sanctioned it"
Cybereason,Cloud Posture Engineer,SaaS Security,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-posture-engineer,2025-11-29,"cloud app security, saas compliance, ai agent security, ai security"
SUSE,LLM Security Specialist,SSPM,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=llm-security-specialist,2025-12-02,"security posture management, ai security, generative ai compliance"
eBay,Lead Security Engineer,SSPM,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,2025-11-25,"ai compliance, sspm, saas security"
Blue Prism,Security Manager,SSPM,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-manager,2025-11-25,"security posture management, ai governance"
Dropbox,SSPM Engineer,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-engineer,2025-11-28,"saas security posture, saas governance, ai agent risk, ai security"
Automation Anywhere,SOC Analyst,SSPM,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,2025-11-30,"ai agent security, shadow it, saas security posture"
Sumo Logic,Security Operations Engineer,SSPM,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-operations-engineer,2025-12-01,"security posture management, saas compliance, saas security"
Darktrace,SOC Analyst,SaaS Security,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,2025-11-25,"saas security, autonomous agent security, llm compliance, saas risk, shadow it"
Apple,Application Security Engineer,SaaS Security,"Seattle, WA",0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=application-security-engineer,2025-11-30,"ai policy, saas risk"
Fastly,CISO,SaaS Security,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,2025-11-28,"cloud app security, sanctioned it, llm compliance, cloud application security, saas security"
Lockheed Martin,Senior Security Engineer,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=senior-security-engineer,2025-11-25,"ai policy, security posture management, cloud app security, saas security posture, ai agent security"
Twilio,AppSec Engineer,SSPM,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,2025-11-29,"ai policy, llm compliance, saas posture management, saas security, ai compliance"
Shell,LLM Security Specialist,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=llm-security-specialist,2025-11-30,"saas security posture, sanctioned it, saas compliance, ai compliance, cloud application security"
Rubrik,Cloud Posture Engineer,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-posture-engineer,2025-11-26,"security posture management, genai security, saas governance, saas security"
Etsy,Security Software Engineer,SSPM,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-software-engineer,2025-12-02,"sanctioned it, llm compliance, saas posture management, cloud application security"
Box,Principal Security Engineer,SaaS Compliance,"New York, NY",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,2025-12-01,"saas risk, llm compliance, cloud compliance, saas governance, saas audit"
ExxonMobil,Security Software Engineer,SaaS Compliance,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-software-engineer,2025-12-02,"saas compliance, saas audit, ai agent security, ai policy"
Walmart,GRC Analyst,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,2025-11-28,"ai security, sspm, cloud compliance, cloud app security"
Qualys,AI Agent Security Engineer,SaaS Security,"Denver, CO",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-agent-security-engineer,2025-11-25,"saas governance, saas security, autonomous agent security, ai agent risk, saas risk"
Humana,Security Analyst,SaaS Security,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-analyst,2025-12-02,"cloud application security, cloud app security, llm security"
Freshworks,AppSec Engineer,AI Agent Security,"Denver, CO",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,2025-11-29,"genai security, ai agent security, shadow it"
Zscaler,Cloud Security Analyst,SaaS Security,"Boston, MA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-analyst,2025-12-02,"cloud app security, genai security"
T-Mobile,GRC Analyst,SaaS Security,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,2025-11-27,"llm security, saas security"
Auth0,Security Compliance Manager,SaaS Compliance,"Boston, MA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,2025-11-25,"saas governance, saas compliance, saas audit"
ExxonMobil,Security Posture Analyst,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-posture-analyst,2025-12-01,"cloud governance, sspm, cloud app security, ai policy, genai security"
Bitbucket,AI Security Engineer,SaaS Security,"Denver, CO",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-security-engineer,2025-11-29,"cloud application security, ai agent security, llm compliance, saas audit"
Thycotic,Risk Manager,SSPM,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=risk-manager,2025-11-25,"saas security, saas posture management, saas compliance, genai security"
Area 1,AppSec Engineer,SSPM,"London, UK",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,2025-12-01,"ai agent security, llm security, saas posture management, shadow it, generative ai compliance"
Wells Fargo,Principal Security Engineer,AI Agent Security,"Seattle, WA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,2025-12-01,"autonomous agent security, llm security, sanctioned it"
Armis,SaaS Security Posture Manager,SaaS Security,"Boston, MA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-posture-manager,2025-11-26,"cloud application security, ai agent security, cloud app security"
Darktrace,Security Compliance Manager,AI Agent Security,"Austin, TX",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,2025-11-25,"ai agent risk, ai agent security"
Nozomi Networks,Threat Detection Engineer,AI Agent Security,Remote,0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=threat-detection-engineer,2025-12-02,"llm security, autonomous agent security"
BAE Systems,Security Auditor,SSPM,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-auditor,2025-11-27,"ai agent risk, saas audit, cloud governance"
American Express,AI Security Engineer,SaaS Compliance,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-security-engineer,2025-11-26,"generative ai compliance, saas compliance, ai security"
KPMG,Cloud Security Engineer,AI Compliance,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-engineer,2025-11-25,"generative ai compliance, llm security"
IronScales,Security Auditor,SSPM,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-auditor,2025-11-28,"cloud application security, security posture management, ai policy, cloud app security, generative ai compliance"
Adobe,Cloud Security Analyst,SSPM,"London, UK",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-analyst,2025-11-25,"security posture management, ai security, cloud app security, saas audit"
SUSE,AI Security Engineer,SSPM,"London, UK",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-security-engineer,2025-11-26,"sanctioned it, security posture management"
Meta,AppSec Engineer,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,2025-11-29,"generative ai compliance, sspm"
Cloudinary,VP of Security,SaaS Security,"Boston, MA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=vp-of-security,2025-12-01,"saas risk, saas security, ai compliance, sanctioned it, saas audit"
Proofpoint,LLM Security Specialist,AI Agent Security,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=llm-security-specialist,2025-11-29,"saas audit, llm compliance, ai agent security, ai agent risk"
Google,AppSec Engineer,SSPM,"Austin, TX",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,2025-11-30,"security posture management, shadow it, saas security, cloud application security"
McAfee,CISO,SSPM,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,2025-11-27,"cloud governance, shadow it, ai compliance, llm compliance"
Zscaler,Security Auditor,AI Compliance,"London, UK",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-auditor,2025-12-02,"ai policy, generative ai compliance, shadow it"
Dropbox,GRC Analyst,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,2025-11-30,"saas posture management, saas risk, llm compliance, ai policy"
Forescout,Security Engineer,SaaS Security,"Boston, MA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,2025-11-26,"ai agent security, cloud application security, sanctioned it"
Lockheed Martin,Security Posture Analyst,SSPM,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-posture-analyst,2025-11-30,"saas security, saas governance, sspm, sanctioned it"
Symantec,Machine Learning Security Engineer,SSPM,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=machine-learning-security-engineer,2025-11-25,"cloud governance, ai agent risk, ai policy, security posture management"
Twilio,Cloud Security Architect,SaaS Security,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-architect,2025-11-25,"ai agent security, ai security, saas security, saas audit"
BP,Security Operations Engineer,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-operations-engineer,2025-11-25,"security posture management, shadow it, ai compliance"
Elastic,Senior Security Engineer,SSPM,"Austin, TX",0.85,Lever,https://jobs.lever.co/elastic,2025-11-29,"cloud governance, saas security, cloud app security, shadow it"
SAP,Security Manager,SaaS Security,"San Francisco, CA",0.85,Lever,https://jobs.lever.co/sap,2025-11-29,"ai security, cloud application security, ai compliance, ai governance"
Databricks,Application Security Engineer,SaaS Security,Hybrid - Bay Area,0.85,Lever,https://jobs.lever.co/databricks,2025-11-30,"saas security, shadow it, generative ai compliance"
Vonage,Security Operations Engineer,SSPM,Remote (US),0.85,Lever,https://jobs.lever.co/vonage,2025-11-27,"genai security, shadow it, saas audit, saas compliance, saas security posture"
Forescout,CISO,AI Agent Security,Hybrid - Bay Area,0.7,Lever,https://jobs.lever.co/forescout,2025-11-29,"llm security, ai agent risk, genai security"
Claroty,Security Compliance Manager,SSPM,"New York, NY",0.85,Lever,https://jobs.lever.co/claroty,2025-11-28,"saas security posture, sspm, cloud application security"
Thycotic,Principal Security Engineer,SSPM,"Toronto, Canada",0.85,Lever,https://jobs.lever.co/thycotic,2025-11-29,"ai security, sspm, security posture management"
Orca Security,Security Software Engineer,SSPM,"New York, NY",0.85,Lever,https://jobs.lever.co/orca-security,2025-11-29,"cloud governance, saas posture management, autonomous agent security"
Qualys,SaaS Security Engineer,SSPM,"Seattle, WA",0.85,Lever,https://jobs.lever.co/qualys,2025-11-29,"saas risk, saas security posture, shadow it, saas security"
Automation Anywhere,Security Manager,SaaS Security,Remote,0.85,Lever,https://jobs.lever.co/automation-anywhere,2025-11-28,"ai agent security, saas security"
Shell,Security Operations Engineer,SSPM,Remote,0.85,Lever,https://jobs.lever.co/shell,2025-11-25,"security posture management, ai compliance, generative ai compliance"
Vonage,SaaS Security Engineer,SaaS Security,Remote (US),0.85,Lever,https://jobs.lever.co/vonage,2025-11-28,"cloud app security, ai security, saas risk, ai agent security"
Atlassian,SSPM Product Manager,SSPM,"Denver, CO",0.9,Lever,https://jobs.lever.co/atlassian,2025-12-01,"sspm, security posture management, cloud application security, cloud compliance"
Atlassian,Security Team Lead,AI Compliance,"New York, NY",0.8,Lever,https://jobs.lever.co/atlassian,2025-11-28,"ai governance, cloud governance, llm compliance"
Thycotic,Senior Security Engineer,SSPM,"Seattle, WA",0.85,Lever,https://jobs.lever.co/thycotic,2025-11-28,"sanctioned it, sspm"
Intercom,Lead Security Engineer,AI Agent Security,"San Francisco, CA",0.8,Lever,https://jobs.lever.co/intercom,2025-11-30,"ai agent security, sanctioned it, ai governance, ai compliance"
eBay,AppSec Engineer,SSPM,"New York, NY",0.85,Lever,https://jobs.lever.co/ebay,2025-11-28,"ai security, saas security posture, generative ai compliance, sspm"
Ermetic,Lead Security Engineer,SSPM,Remote (US),0.85,Lever,https://jobs.lever.co/ermetic,2025-11-28,"cloud governance, llm security, saas governance, ai agent security, saas posture management"
SentinelOne,Cloud Security Analyst,SSPM,Remote,0.85,Lever,https://jobs.lever.co/sentinelone,2025-11-30,"saas security posture, shadow it, sspm"
Morgan Stanley,Security Software Engineer,SSPM,Remote,0.85,Lever,https://jobs.lever.co/morgan-stanley,2025-12-02,"cloud app security, saas security posture, sanctioned it, ai governance, ai policy"
Imperva,Lead Security Engineer,SSPM,Remote (US),0.9,Lever,https://jobs.lever.co/imperva,2025-12-01,"saas governance, generative ai compliance, sspm, security posture management, saas security posture"
SUSE,GRC Analyst,SSPM,"Seattle, WA",0.85,Lever,https://jobs.lever.co/suse,2025-11-30,"ai policy, saas posture management"
DocuSign,Cloud Security Architect,SaaS Security,"Seattle, WA",0.8,Lever,https://jobs.lever.co/docusign,2025-12-02,"saas risk, ai policy"
GitHub,Cloud Security Engineer,SaaS Security,"Seattle, WA",0.9,Lever,https://jobs.lever.co/github,2025-11-25,"saas risk, cloud application security, generative ai compliance"
Zoom,AI Security Engineer,AI Compliance,"Denver, CO",0.9,Lever,https://jobs.lever.co/zoom,2025-11-27,"cloud application security, ai agent risk, ai governance, llm security, generative ai compliance"
Confluent,Compliance Engineer,SSPM,Remote,0.85,Lever,https://jobs.lever.co/confluent,2025-12-01,"cloud application security, llm compliance"
eBay,SSPM Product Manager,SSPM,"London, UK",0.85,Lever,https://jobs.lever.co/ebay,2025-11-28,"sspm, ai policy, llm security, saas posture management, genai security"
Capital One,Director of Security,SaaS Security,"San Francisco, CA",0.8,Lever,https://jobs.lever.co/capital-one,2025-11-30,"cloud application security, ai compliance, ai policy"
McKinsey,Security Operations Engineer,AI Compliance,"Denver, CO",0.9,Lever,https://jobs.lever.co/mckinsey,2025-11-29,"genai security, shadow it, llm compliance, llm security"
CyberArk,AI Security Engineer,SaaS Security,Hybrid - Bay Area,0.8,Lever,https://jobs.lever.co/cyberark,2025-11-26,"ai compliance, ai security, autonomous agent security, cloud compliance"
Workday,Security Software Engineer,SaaS Security,"Austin, TX",0.85,Lever,https://jobs.lever.co/workday,2025-11-25,"ai compliance, saas governance, ai agent security"
eBay,Threat Detection Engineer,SSPM,"Seattle, WA",0.85,Lever,https://jobs.lever.co/ebay,2025-11-25,"genai security, security posture management, cloud compliance"
ForeScout,Director of Security,SaaS Security,"Denver, CO",0.8,Lever,https://jobs.lever.co/forescout,2025-11-28,"ai governance, saas governance"
Arctic Wolf,Application Security Engineer,SSPM,Remote,0.85,Lever,https://jobs.lever.co/arctic-wolf,2025-12-02,"ai agent risk, sspm"
F5 Networks,Application Security Engineer,SaaS Compliance,Hybrid - Bay Area,0.85,Lever,https://jobs.lever.co/f5-networks,2025-11-28,"saas compliance, cloud app security, llm compliance, llm security"
Armis,SaaS Security Posture Manager,SaaS Security,"New York, NY",0.8,Lever,https://jobs.lever.co/armis,2025-11-26,"saas risk, sanctioned it, autonomous agent security"
Red Hat,Security Operations Engineer,SSPM,"Austin, TX",0.85,Lever,https://jobs.lever.co/red-hat,2025-12-01,"cloud governance, cloud app security, saas posture management"
Walmart,Director of Security,SSPM,Remote,0.85,Lever,https://jobs.lever.co/walmart,2025-11-26,"cloud compliance, sanctioned it, ai security, saas security posture, saas risk"
Sysdig,Security Analyst,SaaS Security,"London, UK",0.8,Lever,https://jobs.lever.co/sysdig,2025-11-30,"ai governance, cloud application security, cloud compliance, ai compliance"
Auth0,Cloud Security Architect,SaaS Security,"San Francisco, CA",0.9,Lever,https://jobs.lever.co/auth0,2025-11-27,"sspm, ai agent security, saas compliance, saas governance, llm compliance"
Home Depot,Compliance Engineer,SaaS Compliance,"London, UK",0.85,Lever,https://jobs.lever.co/home-depot,2025-11-25,"genai security, generative ai compliance, saas governance"
Raytheon,Lead Security Engineer,SSPM,Remote,0.85,Lever,https://jobs.lever.co/raytheon,2025-11-27,"sspm, ai agent security, cloud compliance"
Redis,Senior Security Engineer,SSPM,"Toronto, Canada",0.85,Lever,https://jobs.lever.co/redis,2025-11-27,"shadow it, genai security, security posture management, saas audit, ai agent risk"
Cisco,Security Manager,SSPM,Remote (US),0.85,Lever,https://jobs.lever.co/cisco,2025-11-26,"security posture management, saas posture management"
KPMG,Security Software Engineer,SSPM,"New York, NY",0.85,Lever,https://jobs.lever.co/kpmg,2025-12-01,"saas risk, saas governance, cloud application security"
